session_id,station_id,user_id,vehicle_id,start_time,end_time,energy_kwh,amount_paid
1,4,122,183,2025-01-01 00:00:00,2025-01-01 01:44:00,5.62,123.46
2,2,27,153,2025-01-01 01:00:00,2025-01-01 02:44:00,43.13,408.58
3,17,105,126,2025-01-01 02:00:00,2025-01-01 03:22:00,25.55,246.61
4,18,96,118,2025-01-01 03:00:00,2025-01-01 04:53:00,41.32,351.01
5,17,51,9,2025-01-01 04:00:00,2025-01-01 05:12:00,40.44,314.5
6,6,20,146,2025-01-01 05:00:00,2025-01-01 05:34:00,40.41,114.2
7,20,184,122,2025-01-01 06:00:00,2025-01-01 07:28:00,20.03,105.46
8,11,32,40,2025-01-01 07:00:00,2025-01-01 08:47:00,12.44,389.89
9,20,199,85,2025-01-01 08:00:00,2025-01-01 08:23:00,19.05,157.85
10,18,180,7,2025-01-01 09:00:00,2025-01-01 10:17:00,10.37,370.76
11,14,38,47,2025-01-01 10:00:00,2025-01-01 11:10:00,38.38,60.38
12,1,140,155,2025-01-01 11:00:00,2025-01-01 12:47:00,27.74,489.15
13,2,80,80,2025-01-01 12:00:00,2025-01-01 12:26:00,14.94,275.22
14,7,173,8,2025-01-01 13:00:00,2025-01-01 14:34:00,37.8,242.92
15,10,54,130,2025-01-01 14:00:00,2025-01-01 15:38:00,23.44,407.74
16,6,133,29,2025-01-01 15:00:00,2025-01-01 15:32:00,5.44,234.57
17,13,146,17,2025-01-01 16:00:00,2025-01-01 16:38:00,11.13,359.22
18,11,26,158,2025-01-01 17:00:00,2025-01-01 18:23:00,21.87,60.82
19,17,183,77,2025-01-01 18:00:00,2025-01-01 19:48:00,8.1,462.95
20,18,123,98,2025-01-01 19:00:00,2025-01-01 20:32:00,30.73,296.67
21,5,77,130,2025-01-01 20:00:00,2025-01-01 20:48:00,12.89,377.88
22,15,1,158,2025-01-01 21:00:00,2025-01-01 21:42:00,28.76,473.79
23,14,97,175,2025-01-01 22:00:00,2025-01-01 23:16:00,5.38,239.14
24,18,199,95,2025-01-01 23:00:00,2025-01-01 23:28:00,10.79,96.94
25,7,170,114,2025-01-02 00:00:00,2025-01-02 01:42:00,18.04,65.18
26,11,105,134,2025-01-02 01:00:00,2025-01-02 01:33:00,8.51,262.95
27,6,84,150,2025-01-02 02:00:00,2025-01-02 02:47:00,44.34,308.89
28,5,124,134,2025-01-02 03:00:00,2025-01-02 04:12:00,14.28,208.34
29,5,100,89,2025-01-02 04:00:00,2025-01-02 05:10:00,40.95,269.6
30,19,94,144,2025-01-02 05:00:00,2025-01-02 06:38:00,32.45,107.04
31,19,26,55,2025-01-02 06:00:00,2025-01-02 06:35:00,43.34,122.85
32,11,124,105,2025-01-02 07:00:00,2025-01-02 07:29:00,41.42,456.59
33,12,173,46,2025-01-02 08:00:00,2025-01-02 09:10:00,40.15,129.67
34,15,73,88,2025-01-02 09:00:00,2025-01-02 10:55:00,28.11,291.77
35,20,39,48,2025-01-02 10:00:00,2025-01-02 10:31:00,43.59,197.68
36,17,51,43,2025-01-02 11:00:00,2025-01-02 12:53:00,12.23,477.11
37,2,144,151,2025-01-02 12:00:00,2025-01-02 13:33:00,23.17,93.9
38,9,133,33,2025-01-02 13:00:00,2025-01-02 13:28:00,36.25,153.6
39,8,27,105,2025-01-02 14:00:00,2025-01-02 15:07:00,24.34,184.65
40,6,76,60,2025-01-02 15:00:00,2025-01-02 15:21:00,44.78,212.56
41,16,27,48,2025-01-02 16:00:00,2025-01-02 16:45:00,34.33,93.4
42,10,29,110,2025-01-02 17:00:00,2025-01-02 18:37:00,13.25,119.6
43,1,129,157,2025-01-02 18:00:00,2025-01-02 19:14:00,37.46,439.51
44,15,70,139,2025-01-02 19:00:00,2025-01-02 20:24:00,40.5,266.36
45,3,58,22,2025-01-02 20:00:00,2025-01-02 21:56:00,26.58,121.97
46,20,14,122,2025-01-02 21:00:00,2025-01-02 22:33:00,44.62,462.73
47,5,23,148,2025-01-02 22:00:00,2025-01-02 23:56:00,26.44,375.61
48,1,62,80,2025-01-02 23:00:00,2025-01-03 00:10:00,35.93,164.3
49,6,91,138,2025-01-03 00:00:00,2025-01-03 01:19:00,17.96,444.44
50,18,63,25,2025-01-03 01:00:00,2025-01-03 02:11:00,14.55,382.08
51,5,134,50,2025-01-03 02:00:00,2025-01-03 03:49:00,36.35,497.61
52,1,83,51,2025-01-03 03:00:00,2025-01-03 04:43:00,12.72,85.48
53,18,45,181,2025-01-03 04:00:00,2025-01-03 05:22:00,16.36,328.77
54,18,111,15,2025-01-03 05:00:00,2025-01-03 06:59:00,19.73,167.13
55,9,68,101,2025-01-03 06:00:00,2025-01-03 07:24:00,29.98,118.66
56,10,24,32,2025-01-03 07:00:00,2025-01-03 07:55:00,18.69,180.48
57,5,138,199,2025-01-03 08:00:00,2025-01-03 09:49:00,17.84,377.07
58,10,180,102,2025-01-03 09:00:00,2025-01-03 10:00:00,22.72,332.92
59,13,6,30,2025-01-03 10:00:00,2025-01-03 11:06:00,22.99,191.17
60,17,34,166,2025-01-03 11:00:00,2025-01-03 12:22:00,5.84,97.09
61,4,130,125,2025-01-03 12:00:00,2025-01-03 12:49:00,17.66,105.72
62,1,64,174,2025-01-03 13:00:00,2025-01-03 14:17:00,23.79,324.59
63,15,85,81,2025-01-03 14:00:00,2025-01-03 15:15:00,14.42,263.79
64,1,190,59,2025-01-03 15:00:00,2025-01-03 16:59:00,24.08,216.9
65,12,92,6,2025-01-03 16:00:00,2025-01-03 17:53:00,27.77,93.54
66,2,32,83,2025-01-03 17:00:00,2025-01-03 17:40:00,38.58,272.01
67,19,187,178,2025-01-03 18:00:00,2025-01-03 19:14:00,35.99,169.12
68,15,132,162,2025-01-03 19:00:00,2025-01-03 20:42:00,15.27,443.12
69,13,85,107,2025-01-03 20:00:00,2025-01-03 21:24:00,10.15,362.3
70,9,139,51,2025-01-03 21:00:00,2025-01-03 21:21:00,5.05,237.84
71,6,180,17,2025-01-03 22:00:00,2025-01-03 22:42:00,20.94,463.78
72,3,74,86,2025-01-03 23:00:00,2025-01-04 00:07:00,39.21,301.57
73,18,198,46,2025-01-04 00:00:00,2025-01-04 00:38:00,11.46,423.11
74,16,142,173,2025-01-04 01:00:00,2025-01-04 01:28:00,16.47,317.02
75,4,61,150,2025-01-04 02:00:00,2025-01-04 03:07:00,26.73,474.46
76,17,105,176,2025-01-04 03:00:00,2025-01-04 03:41:00,28.75,89.97
77,19,82,27,2025-01-04 04:00:00,2025-01-04 05:06:00,26.89,400.1
78,6,187,47,2025-01-04 05:00:00,2025-01-04 06:42:00,5.1,68.65
79,19,46,115,2025-01-04 06:00:00,2025-01-04 07:36:00,35.83,98.28
80,8,154,5,2025-01-04 07:00:00,2025-01-04 07:35:00,41.01,413.66
81,18,132,39,2025-01-04 08:00:00,2025-01-04 09:53:00,15.11,376.77
82,5,193,78,2025-01-04 09:00:00,2025-01-04 10:39:00,10.33,317.65
83,14,15,74,2025-01-04 10:00:00,2025-01-04 11:10:00,35.74,462.4
84,20,199,71,2025-01-04 11:00:00,2025-01-04 11:27:00,34.2,227.93
85,16,16,36,2025-01-04 12:00:00,2025-01-04 12:43:00,36.72,52.46
86,20,6,13,2025-01-04 13:00:00,2025-01-04 14:55:00,41.76,82.24
87,15,55,134,2025-01-04 14:00:00,2025-01-04 14:41:00,6.77,375.81
88,19,1,57,2025-01-04 15:00:00,2025-01-04 15:34:00,26.48,166.72
89,1,200,29,2025-01-04 16:00:00,2025-01-04 17:21:00,36.56,313.32
90,5,190,191,2025-01-04 17:00:00,2025-01-04 17:45:00,25.05,247.83
91,7,82,109,2025-01-04 18:00:00,2025-01-04 19:42:00,27.09,154.46
92,13,33,16,2025-01-04 19:00:00,2025-01-04 20:28:00,27.66,384.56
93,4,59,96,2025-01-04 20:00:00,2025-01-04 21:55:00,5.42,63.7
94,19,30,176,2025-01-04 21:00:00,2025-01-04 22:57:00,41.17,358.97
95,14,160,36,2025-01-04 22:00:00,2025-01-04 23:23:00,13.43,387.12
96,20,160,96,2025-01-04 23:00:00,2025-01-05 00:30:00,6.02,87.58
97,18,19,140,2025-01-05 00:00:00,2025-01-05 00:53:00,30.34,175.78
98,2,108,154,2025-01-05 01:00:00,2025-01-05 01:42:00,27.41,465.78
99,19,103,19,2025-01-05 02:00:00,2025-01-05 03:33:00,10.11,258.58
100,13,72,97,2025-01-05 03:00:00,2025-01-05 03:43:00,44.93,312.47
101,16,191,61,2025-01-05 04:00:00,2025-01-05 05:47:00,20.66,398.23
102,8,20,91,2025-01-05 05:00:00,2025-01-05 06:55:00,15.64,434.89
103,3,70,52,2025-01-05 06:00:00,2025-01-05 06:34:00,9.05,96.35
104,8,178,123,2025-01-05 07:00:00,2025-01-05 08:01:00,26.38,289.72
105,14,193,69,2025-01-05 08:00:00,2025-01-05 08:29:00,11.57,142.9
106,17,130,172,2025-01-05 09:00:00,2025-01-05 09:44:00,10.83,362.2
107,2,51,15,2025-01-05 10:00:00,2025-01-05 11:27:00,34.1,474.91
108,17,182,6,2025-01-05 11:00:00,2025-01-05 11:25:00,7.67,71.08
109,14,61,129,2025-01-05 12:00:00,2025-01-05 13:23:00,33.53,340.56
110,6,59,175,2025-01-05 13:00:00,2025-01-05 14:34:00,7.79,338.77
111,19,117,5,2025-01-05 14:00:00,2025-01-05 14:48:00,20.77,236.62
112,17,186,62,2025-01-05 15:00:00,2025-01-05 16:55:00,10.0,332.22
113,13,147,22,2025-01-05 16:00:00,2025-01-05 16:42:00,44.39,225.44
114,5,170,51,2025-01-05 17:00:00,2025-01-05 18:32:00,14.45,494.15
115,17,7,128,2025-01-05 18:00:00,2025-01-05 19:34:00,19.58,265.94
116,20,172,112,2025-01-05 19:00:00,2025-01-05 20:45:00,13.45,421.2
117,15,161,104,2025-01-05 20:00:00,2025-01-05 20:50:00,26.76,468.37
118,9,76,15,2025-01-05 21:00:00,2025-01-05 22:42:00,41.89,383.54
119,15,124,184,2025-01-05 22:00:00,2025-01-05 23:17:00,24.31,353.79
120,18,25,198,2025-01-05 23:00:00,2025-01-06 00:54:00,34.69,366.74
121,11,51,141,2025-01-06 00:00:00,2025-01-06 01:52:00,19.2,108.17
122,15,137,113,2025-01-06 01:00:00,2025-01-06 01:51:00,16.3,172.48
123,7,118,186,2025-01-06 02:00:00,2025-01-06 03:54:00,8.94,255.86
124,14,84,4,2025-01-06 03:00:00,2025-01-06 03:52:00,43.8,240.75
125,5,3,30,2025-01-06 04:00:00,2025-01-06 05:01:00,20.14,123.24
126,16,29,34,2025-01-06 05:00:00,2025-01-06 05:48:00,39.94,195.27
127,15,39,49,2025-01-06 06:00:00,2025-01-06 07:28:00,29.79,371.7
128,11,175,122,2025-01-06 07:00:00,2025-01-06 08:25:00,32.13,74.3
129,12,44,166,2025-01-06 08:00:00,2025-01-06 09:58:00,23.29,334.85
130,15,98,19,2025-01-06 09:00:00,2025-01-06 10:58:00,18.09,214.49
131,12,117,165,2025-01-06 10:00:00,2025-01-06 10:42:00,23.95,470.95
132,3,14,113,2025-01-06 11:00:00,2025-01-06 12:30:00,35.66,180.41
133,1,46,68,2025-01-06 12:00:00,2025-01-06 13:49:00,41.48,486.02
134,15,34,134,2025-01-06 13:00:00,2025-01-06 14:43:00,24.81,433.73
135,7,11,189,2025-01-06 14:00:00,2025-01-06 14:29:00,26.23,144.86
136,19,116,64,2025-01-06 15:00:00,2025-01-06 16:58:00,34.3,453.68
137,15,88,146,2025-01-06 16:00:00,2025-01-06 17:46:00,43.37,189.8
138,14,126,107,2025-01-06 17:00:00,2025-01-06 18:01:00,31.31,249.04
139,13,78,103,2025-01-06 18:00:00,2025-01-06 19:19:00,39.0,245.24
140,6,116,112,2025-01-06 19:00:00,2025-01-06 20:16:00,21.16,123.45
141,20,31,109,2025-01-06 20:00:00,2025-01-06 21:13:00,12.18,279.9
142,20,65,196,2025-01-06 21:00:00,2025-01-06 21:48:00,33.19,73.44
143,9,108,104,2025-01-06 22:00:00,2025-01-06 22:43:00,14.8,486.14
144,9,200,4,2025-01-06 23:00:00,2025-01-06 23:24:00,40.43,239.74
145,16,68,70,2025-01-07 00:00:00,2025-01-07 01:47:00,8.15,425.2
146,11,127,173,2025-01-07 01:00:00,2025-01-07 01:37:00,24.04,188.4
147,11,111,42,2025-01-07 02:00:00,2025-01-07 03:22:00,22.46,179.21
148,18,129,191,2025-01-07 03:00:00,2025-01-07 03:28:00,39.49,321.8
149,1,96,44,2025-01-07 04:00:00,2025-01-07 05:33:00,43.75,397.44
150,8,137,124,2025-01-07 05:00:00,2025-01-07 06:25:00,43.15,197.79
151,7,68,80,2025-01-07 06:00:00,2025-01-07 07:55:00,7.2,381.37
152,3,12,95,2025-01-07 07:00:00,2025-01-07 07:35:00,44.63,97.6
153,2,152,129,2025-01-07 08:00:00,2025-01-07 09:41:00,31.72,83.09
154,17,21,145,2025-01-07 09:00:00,2025-01-07 10:29:00,15.09,90.38
155,14,2,162,2025-01-07 10:00:00,2025-01-07 10:27:00,20.08,177.06
156,18,199,174,2025-01-07 11:00:00,2025-01-07 12:26:00,40.55,284.67
157,8,69,44,2025-01-07 12:00:00,2025-01-07 12:47:00,41.64,184.95
158,2,171,72,2025-01-07 13:00:00,2025-01-07 14:58:00,9.88,185.24
159,3,100,82,2025-01-07 14:00:00,2025-01-07 15:30:00,10.73,276.28
160,1,125,166,2025-01-07 15:00:00,2025-01-07 15:44:00,6.77,68.8
161,19,23,170,2025-01-07 16:00:00,2025-01-07 16:32:00,20.75,424.3
162,7,159,39,2025-01-07 17:00:00,2025-01-07 18:13:00,18.81,305.94
163,7,39,36,2025-01-07 18:00:00,2025-01-07 18:33:00,31.91,103.12
164,4,76,50,2025-01-07 19:00:00,2025-01-07 20:53:00,11.47,489.91
165,5,53,16,2025-01-07 20:00:00,2025-01-07 20:49:00,36.88,179.64
166,20,99,55,2025-01-07 21:00:00,2025-01-07 22:41:00,28.21,154.65
167,19,196,43,2025-01-07 22:00:00,2025-01-07 23:34:00,9.44,440.36
168,7,114,90,2025-01-07 23:00:00,2025-01-08 00:00:00,40.87,386.93
169,15,193,73,2025-01-08 00:00:00,2025-01-08 00:47:00,38.98,271.98
170,16,7,174,2025-01-08 01:00:00,2025-01-08 01:50:00,35.16,445.14
171,18,34,174,2025-01-08 02:00:00,2025-01-08 03:58:00,24.19,258.48
172,2,30,144,2025-01-08 03:00:00,2025-01-08 03:44:00,29.42,61.9
173,10,86,191,2025-01-08 04:00:00,2025-01-08 05:26:00,12.91,374.82
174,20,15,123,2025-01-08 05:00:00,2025-01-08 06:18:00,35.39,168.65
175,18,53,53,2025-01-08 06:00:00,2025-01-08 06:29:00,32.76,195.49
176,12,87,108,2025-01-08 07:00:00,2025-01-08 08:23:00,36.96,468.4
177,1,92,36,2025-01-08 08:00:00,2025-01-08 08:26:00,42.52,329.86
178,4,196,99,2025-01-08 09:00:00,2025-01-08 09:25:00,40.55,393.71
179,5,114,109,2025-01-08 10:00:00,2025-01-08 11:03:00,40.82,290.11
180,20,95,57,2025-01-08 11:00:00,2025-01-08 11:26:00,22.2,315.72
181,16,104,130,2025-01-08 12:00:00,2025-01-08 13:18:00,36.54,395.03
182,6,175,184,2025-01-08 13:00:00,2025-01-08 13:53:00,43.78,475.83
183,5,88,93,2025-01-08 14:00:00,2025-01-08 14:30:00,15.64,369.44
184,10,25,28,2025-01-08 15:00:00,2025-01-08 15:34:00,35.61,62.66
185,17,142,128,2025-01-08 16:00:00,2025-01-08 17:48:00,14.72,210.65
186,17,161,170,2025-01-08 17:00:00,2025-01-08 17:29:00,16.41,398.12
187,6,33,3,2025-01-08 18:00:00,2025-01-08 18:42:00,22.11,65.02
188,1,119,143,2025-01-08 19:00:00,2025-01-08 20:00:00,22.69,445.98
189,4,26,25,2025-01-08 20:00:00,2025-01-08 20:22:00,33.03,352.65
190,9,74,20,2025-01-08 21:00:00,2025-01-08 22:42:00,9.19,156.72
191,10,102,134,2025-01-08 22:00:00,2025-01-08 22:55:00,38.67,246.38
192,11,109,100,2025-01-08 23:00:00,2025-01-09 00:00:00,10.45,63.08
193,7,146,124,2025-01-09 00:00:00,2025-01-09 01:34:00,6.02,81.73
194,13,152,36,2025-01-09 01:00:00,2025-01-09 01:52:00,21.13,297.62
195,12,36,162,2025-01-09 02:00:00,2025-01-09 03:11:00,36.0,152.12
196,3,122,155,2025-01-09 03:00:00,2025-01-09 03:42:00,18.94,130.53
197,18,36,111,2025-01-09 04:00:00,2025-01-09 04:41:00,39.01,475.88
198,8,163,16,2025-01-09 05:00:00,2025-01-09 06:16:00,31.53,343.82
199,8,85,169,2025-01-09 06:00:00,2025-01-09 07:02:00,33.36,69.48
200,7,198,102,2025-01-09 07:00:00,2025-01-09 08:33:00,25.68,183.32
201,6,21,16,2025-01-09 08:00:00,2025-01-09 09:40:00,28.58,132.33
202,10,7,164,2025-01-09 09:00:00,2025-01-09 10:03:00,11.55,481.19
203,13,137,86,2025-01-09 10:00:00,2025-01-09 11:47:00,40.5,187.81
204,9,1,158,2025-01-09 11:00:00,2025-01-09 12:51:00,22.03,323.92
205,2,62,151,2025-01-09 12:00:00,2025-01-09 13:14:00,22.56,283.92
206,15,90,187,2025-01-09 13:00:00,2025-01-09 14:47:00,32.14,458.2
207,14,103,124,2025-01-09 14:00:00,2025-01-09 15:17:00,40.54,52.26
208,16,72,174,2025-01-09 15:00:00,2025-01-09 16:38:00,34.76,196.7
209,5,123,4,2025-01-09 16:00:00,2025-01-09 17:06:00,22.65,128.47
210,3,7,90,2025-01-09 17:00:00,2025-01-09 17:52:00,23.5,401.8
211,8,198,80,2025-01-09 18:00:00,2025-01-09 18:29:00,16.13,225.08
212,14,165,196,2025-01-09 19:00:00,2025-01-09 20:56:00,7.34,426.64
213,9,158,59,2025-01-09 20:00:00,2025-01-09 20:42:00,42.59,287.68
214,6,104,149,2025-01-09 21:00:00,2025-01-09 22:15:00,8.98,477.5
215,8,20,186,2025-01-09 22:00:00,2025-01-09 23:07:00,15.82,249.13
216,16,48,189,2025-01-09 23:00:00,2025-01-09 23:50:00,42.9,207.56
217,16,151,24,2025-01-10 00:00:00,2025-01-10 00:28:00,28.11,381.42
218,10,68,132,2025-01-10 01:00:00,2025-01-10 02:57:00,39.12,132.5
219,20,136,88,2025-01-10 02:00:00,2025-01-10 02:32:00,32.8,338.31
220,10,57,98,2025-01-10 03:00:00,2025-01-10 04:57:00,6.86,76.8
221,12,94,196,2025-01-10 04:00:00,2025-01-10 05:48:00,10.99,376.51
222,4,73,138,2025-01-10 05:00:00,2025-01-10 06:00:00,9.7,398.38
223,8,147,159,2025-01-10 06:00:00,2025-01-10 06:56:00,24.25,109.42
224,19,151,144,2025-01-10 07:00:00,2025-01-10 07:55:00,37.66,447.57
225,9,151,129,2025-01-10 08:00:00,2025-01-10 08:26:00,33.73,90.87
226,2,47,168,2025-01-10 09:00:00,2025-01-10 10:07:00,13.29,385.4
227,4,40,27,2025-01-10 10:00:00,2025-01-10 10:45:00,21.67,461.71
228,19,57,62,2025-01-10 11:00:00,2025-01-10 12:10:00,32.93,340.3
229,18,163,176,2025-01-10 12:00:00,2025-01-10 12:25:00,40.78,305.21
230,15,61,62,2025-01-10 13:00:00,2025-01-10 13:59:00,41.64,373.93
231,11,99,91,2025-01-10 14:00:00,2025-01-10 15:01:00,25.19,149.71
232,11,142,115,2025-01-10 15:00:00,2025-01-10 16:20:00,21.65,185.85
233,12,29,3,2025-01-10 16:00:00,2025-01-10 17:23:00,31.07,425.08
234,14,60,122,2025-01-10 17:00:00,2025-01-10 18:03:00,31.5,90.72
235,15,14,163,2025-01-10 18:00:00,2025-01-10 18:45:00,43.93,314.3
236,6,162,33,2025-01-10 19:00:00,2025-01-10 20:09:00,24.92,448.47
237,11,123,86,2025-01-10 20:00:00,2025-01-10 21:57:00,26.5,86.91
238,8,155,67,2025-01-10 21:00:00,2025-01-10 22:18:00,23.37,126.51
239,18,78,189,2025-01-10 22:00:00,2025-01-10 23:37:00,33.68,96.57
240,6,186,30,2025-01-10 23:00:00,2025-01-11 00:12:00,18.41,97.94
241,7,126,9,2025-01-11 00:00:00,2025-01-11 01:05:00,6.43,411.09
242,12,75,85,2025-01-11 01:00:00,2025-01-11 01:27:00,27.25,331.55
243,12,88,58,2025-01-11 02:00:00,2025-01-11 03:39:00,16.25,150.66
244,18,92,157,2025-01-11 03:00:00,2025-01-11 03:39:00,34.92,243.85
245,19,56,164,2025-01-11 04:00:00,2025-01-11 05:11:00,11.87,309.53
246,6,86,1,2025-01-11 05:00:00,2025-01-11 06:11:00,38.8,364.35
247,18,92,182,2025-01-11 06:00:00,2025-01-11 06:54:00,35.44,211.36
248,9,24,132,2025-01-11 07:00:00,2025-01-11 08:55:00,20.06,211.84
249,18,200,111,2025-01-11 08:00:00,2025-01-11 08:46:00,11.89,226.31
250,11,142,66,2025-01-11 09:00:00,2025-01-11 10:13:00,39.21,123.15
251,8,21,154,2025-01-11 10:00:00,2025-01-11 11:28:00,18.67,68.88
252,12,36,141,2025-01-11 11:00:00,2025-01-11 12:17:00,9.17,329.08
253,15,164,61,2025-01-11 12:00:00,2025-01-11 13:49:00,25.32,257.04
254,1,198,75,2025-01-11 13:00:00,2025-01-11 14:49:00,6.61,177.33
255,2,38,186,2025-01-11 14:00:00,2025-01-11 14:40:00,11.43,251.79
256,2,151,151,2025-01-11 15:00:00,2025-01-11 16:24:00,10.3,92.71
257,5,162,110,2025-01-11 16:00:00,2025-01-11 17:15:00,24.96,223.7
258,13,19,75,2025-01-11 17:00:00,2025-01-11 17:30:00,18.13,328.04
259,9,129,60,2025-01-11 18:00:00,2025-01-11 18:50:00,33.99,469.01
260,19,32,57,2025-01-11 19:00:00,2025-01-11 20:35:00,9.33,274.23
261,13,31,51,2025-01-11 20:00:00,2025-01-11 20:48:00,17.23,160.5
262,20,174,112,2025-01-11 21:00:00,2025-01-11 21:32:00,16.95,250.15
263,4,131,68,2025-01-11 22:00:00,2025-01-11 23:10:00,34.89,146.73
264,11,150,33,2025-01-11 23:00:00,2025-01-11 23:28:00,40.19,458.61
265,8,19,37,2025-01-12 00:00:00,2025-01-12 00:25:00,24.71,468.85
266,15,81,116,2025-01-12 01:00:00,2025-01-12 02:29:00,27.47,73.57
267,9,100,36,2025-01-12 02:00:00,2025-01-12 02:57:00,36.88,386.34
268,15,13,6,2025-01-12 03:00:00,2025-01-12 04:34:00,39.85,247.64
269,4,73,172,2025-01-12 04:00:00,2025-01-12 05:07:00,35.55,421.51
270,4,125,98,2025-01-12 05:00:00,2025-01-12 06:24:00,15.36,315.61
271,18,189,198,2025-01-12 06:00:00,2025-01-12 06:39:00,7.92,190.63
272,13,100,29,2025-01-12 07:00:00,2025-01-12 08:11:00,13.44,61.49
273,14,138,138,2025-01-12 08:00:00,2025-01-12 08:46:00,29.78,446.07
274,8,32,102,2025-01-12 09:00:00,2025-01-12 09:33:00,26.96,317.59
275,16,50,108,2025-01-12 10:00:00,2025-01-12 10:44:00,25.31,184.13
276,15,64,62,2025-01-12 11:00:00,2025-01-12 11:38:00,7.93,101.62
277,8,108,110,2025-01-12 12:00:00,2025-01-12 13:33:00,21.43,299.74
278,20,48,95,2025-01-12 13:00:00,2025-01-12 14:20:00,6.05,365.56
279,11,129,58,2025-01-12 14:00:00,2025-01-12 14:32:00,31.14,329.49
280,14,174,194,2025-01-12 15:00:00,2025-01-12 15:47:00,14.83,57.44
281,19,125,147,2025-01-12 16:00:00,2025-01-12 17:37:00,33.28,450.65
282,2,55,184,2025-01-12 17:00:00,2025-01-12 17:28:00,26.29,245.81
283,12,39,196,2025-01-12 18:00:00,2025-01-12 19:14:00,7.17,82.49
284,19,37,134,2025-01-12 19:00:00,2025-01-12 20:58:00,10.57,370.05
285,15,159,167,2025-01-12 20:00:00,2025-01-12 21:27:00,41.47,262.56
286,6,34,156,2025-01-12 21:00:00,2025-01-12 21:26:00,40.03,223.43
287,9,100,8,2025-01-12 22:00:00,2025-01-12 23:38:00,37.63,298.41
288,19,106,119,2025-01-12 23:00:00,2025-01-13 00:41:00,27.85,197.04
289,3,119,188,2025-01-13 00:00:00,2025-01-13 01:33:00,19.41,157.24
290,12,127,105,2025-01-13 01:00:00,2025-01-13 01:37:00,43.35,458.45
291,13,27,98,2025-01-13 02:00:00,2025-01-13 03:44:00,41.38,412.06
292,12,47,177,2025-01-13 03:00:00,2025-01-13 04:31:00,5.68,199.83
293,9,19,159,2025-01-13 04:00:00,2025-01-13 04:34:00,9.84,180.64
294,5,89,89,2025-01-13 05:00:00,2025-01-13 06:45:00,26.72,390.11
295,18,42,104,2025-01-13 06:00:00,2025-01-13 07:56:00,32.62,397.52
296,13,20,45,2025-01-13 07:00:00,2025-01-13 08:58:00,23.59,52.74
297,18,3,187,2025-01-13 08:00:00,2025-01-13 09:09:00,12.28,433.04
298,11,43,182,2025-01-13 09:00:00,2025-01-13 09:23:00,21.81,251.16
299,17,50,82,2025-01-13 10:00:00,2025-01-13 11:53:00,13.21,93.54
300,11,158,45,2025-01-13 11:00:00,2025-01-13 11:42:00,37.17,329.32
301,12,194,162,2025-01-13 12:00:00,2025-01-13 12:35:00,26.69,194.35
302,3,22,57,2025-01-13 13:00:00,2025-01-13 14:57:00,21.35,468.09
303,11,119,134,2025-01-13 14:00:00,2025-01-13 15:41:00,10.67,411.71
304,13,90,175,2025-01-13 15:00:00,2025-01-13 16:38:00,25.58,125.58
305,18,79,7,2025-01-13 16:00:00,2025-01-13 16:23:00,27.66,398.11
306,8,122,149,2025-01-13 17:00:00,2025-01-13 18:56:00,31.12,163.97
307,17,87,130,2025-01-13 18:00:00,2025-01-13 19:17:00,33.22,179.42
308,11,140,72,2025-01-13 19:00:00,2025-01-13 19:36:00,6.67,492.72
