session_id,user_id,amount_paid,payment_method,payment_status
1,122,123.46,UPI,Completed
2,27,408.58,UPI,Completed
3,105,246.61,Credit Card,Completed
4,96,351.01,Debit Card,Completed
5,51,314.5,Net Banking,Completed
6,20,114.2,Debit Card,Completed
7,184,105.46,Debit Card,Completed
8,32,389.89,UPI,Completed
9,199,157.85,UPI,Failed
10,180,370.76,UPI,Completed
11,38,60.38,Credit Card,Completed
12,140,489.15,Net Banking,Completed
13,80,275.22,Credit Card,Completed
14,173,242.92,UPI,Completed
15,54,407.74,UPI,Completed
16,133,234.57,Credit Card,Completed
17,146,359.22,Net Banking,Completed
18,26,60.82,Credit Card,Completed
19,183,462.95,Debit Card,Completed
20,123,296.67,Debit Card,Completed
21,77,377.88,Debit Card,Completed
22,1,473.79,Debit Card,Completed
23,97,239.14,Credit Card,Completed
24,199,96.94,UPI,Completed
25,170,65.18,Debit Card,Completed
26,105,262.95,UPI,Completed
27,84,308.89,Debit Card,Completed
28,124,208.34,Net Banking,Completed
29,100,269.6,UPI,Completed
30,94,107.04,UPI,Completed
31,26,122.85,Credit Card,Completed
32,124,456.59,Debit Card,Completed
33,173,129.67,Net Banking,Completed
34,73,291.77,Net Banking,Completed
35,39,197.68,Net Banking,Completed
36,51,477.11,Debit Card,Completed
37,144,93.9,UPI,Failed
38,133,153.6,Debit Card,Completed
39,27,184.65,Credit Card,Completed
40,76,212.56,Debit Card,Completed
41,27,93.4,Net Banking,Completed
42,29,119.6,Net Banking,Completed
43,129,439.51,Credit Card,Completed
44,70,266.36,Net Banking,Completed
45,58,121.97,Credit Card,Completed
46,14,462.73,Credit Card,Completed
47,23,375.61,UPI,Completed
48,62,164.3,Credit Card,Completed
49,91,444.44,UPI,Completed
50,63,382.08,Debit Card,Completed
51,134,497.61,Net Banking,Completed
52,83,85.48,Credit Card,Completed
53,45,328.77,Debit Card,Completed
54,111,167.13,UPI,Completed
55,68,118.66,UPI,Completed
56,24,180.48,Credit Card,Completed
57,138,377.07,UPI,Completed
58,180,332.92,Debit Card,Completed
59,6,191.17,Net Banking,Completed
60,34,97.09,Credit Card,Completed
61,130,105.72,Debit Card,Completed
62,64,324.59,Net Banking,Completed
63,85,263.79,Debit Card,Completed
64,190,216.9,Net Banking,Completed
65,92,93.54,Debit Card,Completed
66,32,272.01,Net Banking,Completed
67,187,169.12,Net Banking,Completed
68,132,443.12,Net Banking,Completed
69,85,362.3,Debit Card,Completed
70,139,237.84,Credit Card,Completed
71,180,463.78,UPI,Completed
72,74,301.57,Debit Card,Completed
73,198,423.11,Net Banking,Completed
74,142,317.02,Net Banking,Completed
75,61,474.46,Net Banking,Completed
76,105,89.97,Credit Card,Completed
77,82,400.1,Debit Card,Completed
78,187,68.65,UPI,Completed
79,46,98.28,Debit Card,Completed
80,154,413.66,UPI,Completed
81,132,376.77,Credit Card,Completed
82,193,317.65,UPI,Completed
83,15,462.4,UPI,Completed
84,199,227.93,Debit Card,Completed
85,16,52.46,UPI,Completed
86,6,82.24,UPI,Completed
87,55,375.81,Net Banking,Failed
88,1,166.72,UPI,Completed
89,200,313.32,Credit Card,Completed
90,190,247.83,UPI,Completed
91,82,154.46,UPI,Completed
92,33,384.56,UPI,Completed
93,59,63.7,Credit Card,Completed
94,30,358.97,Credit Card,Completed
95,160,387.12,Net Banking,Completed
96,160,87.58,UPI,Completed
97,19,175.78,Debit Card,Completed
98,108,465.78,Debit Card,Completed
99,103,258.58,Net Banking,Completed
100,72,312.47,Credit Card,Completed
101,191,398.23,UPI,Completed
102,20,434.89,Net Banking,Completed
103,70,96.35,Debit Card,Completed
104,178,289.72,Credit Card,Completed
105,193,142.9,UPI,Completed
106,130,362.2,UPI,Completed
107,51,474.91,Net Banking,Completed
108,182,71.08,UPI,Completed
109,61,340.56,Debit Card,Completed
110,59,338.77,UPI,Failed
111,117,236.62,Credit Card,Completed
112,186,332.22,Debit Card,Completed
113,147,225.44,Credit Card,Completed
114,170,494.15,Net Banking,Completed
115,7,265.94,UPI,Completed
116,172,421.2,Debit Card,Completed
117,161,468.37,Credit Card,Completed
118,76,383.54,Net Banking,Completed
119,124,353.79,UPI,Completed
120,25,366.74,Debit Card,Completed
121,51,108.17,Debit Card,Completed
122,137,172.48,Net Banking,Completed
123,118,255.86,Debit Card,Completed
124,84,240.75,UPI,Completed
125,3,123.24,Net Banking,Completed
126,29,195.27,Debit Card,Completed
127,39,371.7,Debit Card,Completed
128,175,74.3,Debit Card,Completed
129,44,334.85,Debit Card,Completed
130,98,214.49,Debit Card,Completed
131,117,470.95,Credit Card,Completed
132,14,180.41,Debit Card,Completed
133,46,486.02,UPI,Completed
134,34,433.73,Net Banking,Completed
135,11,144.86,Debit Card,Completed
136,116,453.68,Debit Card,Completed
137,88,189.8,Credit Card,Completed
138,126,249.04,Credit Card,Completed
139,78,245.24,UPI,Completed
140,116,123.45,UPI,Completed
141,31,279.9,UPI,Completed
142,65,73.44,Net Banking,Completed
143,108,486.14,Net Banking,Completed
144,200,239.74,Credit Card,Completed
145,68,425.2,Credit Card,Completed
146,127,188.4,Credit Card,Completed
147,111,179.21,Credit Card,Completed
148,129,321.8,Credit Card,Completed
149,96,397.44,Credit Card,Completed
150,137,197.79,Credit Card,Completed
151,68,381.37,Credit Card,Completed
152,12,97.6,UPI,Completed
153,152,83.09,Credit Card,Completed
154,21,90.38,UPI,Completed
155,2,177.06,Credit Card,Completed
156,199,284.67,Net Banking,Completed
157,69,184.95,Credit Card,Completed
158,171,185.24,Net Banking,Completed
159,100,276.28,UPI,Completed
160,125,68.8,UPI,Completed
161,23,424.3,UPI,Completed
162,159,305.94,Net Banking,Completed
163,39,103.12,Credit Card,Completed
164,76,489.91,Net Banking,Completed
165,53,179.64,Debit Card,Completed
166,99,154.65,Credit Card,Completed
167,196,440.36,Debit Card,Completed
168,114,386.93,Debit Card,Completed
169,193,271.98,Credit Card,Completed
170,7,445.14,Credit Card,Completed
171,34,258.48,UPI,Completed
172,30,61.9,Debit Card,Completed
173,86,374.82,Credit Card,Completed
174,15,168.65,Credit Card,Completed
175,53,195.49,Debit Card,Completed
176,87,468.4,Credit Card,Completed
177,92,329.86,Debit Card,Completed
178,196,393.71,Debit Card,Completed
179,114,290.11,UPI,Completed
180,95,315.72,Credit Card,Completed
181,104,395.03,UPI,Completed
182,175,475.83,Net Banking,Completed
183,88,369.44,UPI,Completed
184,25,62.66,Debit Card,Completed
185,142,210.65,Net Banking,Completed
186,161,398.12,Debit Card,Completed
187,33,65.02,Debit Card,Completed
188,119,445.98,UPI,Completed
189,26,352.65,UPI,Completed
190,74,156.72,Debit Card,Completed
191,102,246.38,Debit Card,Completed
192,109,63.08,Debit Card,Completed
193,146,81.73,Net Banking,Completed
194,152,297.62,Debit Card,Completed
195,36,152.12,Credit Card,Completed
196,122,130.53,UPI,Completed
197,36,475.88,UPI,Completed
198,163,343.82,Net Banking,Completed
199,85,69.48,UPI,Completed
200,198,183.32,Credit Card,Completed
201,21,132.33,Net Banking,Completed
202,7,481.19,Net Banking,Completed
203,137,187.81,Net Banking,Completed
204,1,323.92,Credit Card,Completed
205,62,283.92,UPI,Completed
206,90,458.2,Debit Card,Completed
207,103,52.26,Debit Card,Completed
208,72,196.7,Credit Card,Completed
209,123,128.47,Credit Card,Completed
210,7,401.8,Net Banking,Completed
211,198,225.08,Net Banking,Completed
212,165,426.64,Net Banking,Completed
213,158,287.68,Credit Card,Completed
214,104,477.5,Net Banking,Completed
215,20,249.13,Credit Card,Completed
216,48,207.56,UPI,Completed
217,151,381.42,UPI,Completed
218,68,132.5,Net Banking,Completed
219,136,338.31,UPI,Completed
220,57,76.8,Net Banking,Completed
221,94,376.51,Net Banking,Completed
222,73,398.38,Net Banking,Completed
223,147,109.42,Debit Card,Completed
224,151,447.57,UPI,Completed
225,151,90.87,UPI,Completed
226,47,385.4,UPI,Completed
227,40,461.71,Net Banking,Completed
228,57,340.3,Credit Card,Completed
229,163,305.21,Net Banking,Completed
230,61,373.93,Debit Card,Completed
